base_name,name_kor,lat,lon,type
Sunchon,순천,39.4125,125.8903,Airbase
Pukchang,북창,39.505,125.964,Airbase
Taetan,태탄,38.1311,125.2458,Airbase
Sunan,순안(평양),39.2005,125.6705,Airport
Onchon,온천,38.892,125.2405,Airbase
Hwangju,황주,38.6545,125.7905,Airbase
Koksan,곡산,38.6902,126.606,Airbase
Wonsan,원산(갈마),39.167,127.482,Naval
Sondok,선덕,39.7435,127.4765,Airbase
Uiju,의주,40.1505,124.417,Airbase
Jangjin,장진,40.3636,127.2514,Airbase
Toksan,덕산,39.995,127.61,Airbase
Kwail,과일,38.4233,125.02,Airbase
Orang,어랑,41.4286,129.6469,Airbase
Kaechon,개천,39.752,125.903,Airbase
Hwangsuwon,황수원,40.675,128.15,Airbase
Taechon,태천,39.905,125.49,Airbase
Hyesan,혜산,41.385,128.14,Airbase
Samjiyon,삼지연,41.905,128.41,Airbase
Kowon,고원,39.435,127.39,Airbase
Nuchon,누천,38.2379,126.1203,Airbase
Hyonli,현리,38.61,127.46,Airbase
